Reviews,Size,Installs,Type,Price,'Content Rating',Genres,'Last Updated',Rating
2066,25,100000,0,0,3,7,2018,5
1125017,25,10000000,0,0,1,9,2018,5
1125438,25,10000000,0,0,1,9,2018,5
1125566,25,10000000,0,0,1,9,2018,5
63986,26,1000000,0,0,3,2,2017,4
1363,26,100000,0,0,1,3,2018,4
2588,26,100000,0,0,2,11,2014,4
127831,26,10000000,0,0,3,1,2017,4
3247,26,500000,0,0,3,2,2017,4.5
1776,26,50000,0,0,1,1,2018,4.5
6735,26,1000000,0,0,4,2,2017,4.5
348962,26,1000000,1,6.99,4,2,2015,4.5
1418,26,10000,0,0,3,7,2018,4.5
114479,26,5000000,0,0,3,1,2017,4.5
396090,26,10000000,0,0,3,7,2018,4.5
454,27,10000,0,0,3,3,2014,4
38448,27,5000000,0,0,1,11,2018,4
91667,27,1000000,0,0,1,3,2018,4.5
4878,27,100000,0,0,2,8,2018,4.5
33788,27,1000000,0,0,1,11,2018,4.5
320334,27,50000000,0,0,3,2,2018,4.5
3250,27,1000000,0,0,1,11,2018,4.5
804,27,10000,0,0,1,2,2018,4.5
1242855,27,50000000,0,0,3,2,2018,4.5
1243017,27,50000000,0,0,3,2,2018,4.5
7885,28,500000,0,0,4,11,2018,4
466,28,10000,1,0.99,1,3,2017,4
55014,28,1000000,0,0,3,2,2017,4.5
70389,28,1000000,0,0,3,2,2018,4.5
187200,28,10000000,0,0,3,1,2018,4.5
2045554,28,50000000,0,0,3,15,2018,4.5
1185148,29,100000000,0,0,1,3,2018,4.5
8537,29,100000,0,0,2,2,2015,4.5
30002,29,1000000,0,0,3,7,2018,4.5
144040,29,5000000,0,0,3,2,2018,4.5
32344,29,1000000,1,0.99,1,8,2016,4.5
152658,29,1000000,0,0,3,8,2014,4.5
197540,29,10000000,0,0,1,9,2018,4.5
306764,29,10000000,0,0,1,6,2018,4.5
29445,29,5000000,0,0,1,12,2018,5
408292,29,10000000,1,0.99,4,2,2018,5
1432809,29,10000000,0,0,4,2,2018,5
21262,29,1000000,0,0,1,9,2018,5
488,30,100000,0,0,3,7,2016,4
83671,30,10000000,0,0,2,11,2018,4
652,30,10000,0,0,1,2,2016,4.5
194969,30,10000000,0,0,2,2,2018,4.5
13079,30,500000,0,0,2,8,2018,4.5
216675,30,10000000,0,0,1,5,2018,5
8175,31,1000000,0,0,2,3,2018,4
101,31,10000,0,0,1,3,2017,4.5
3816,31,100000,0,0,3,3,2016,4.5
5731,31,1000000,0,0,4,8,2018,4.5
37513,31,5000000,0,0,1,3,2015,4.5
931595,31,10000000,0,0,3,14,2018,4.5
460,31,50000,0,0,1,6,2018,4.5
101686,31,10000000,0,0,1,9,2018,5
725897,31,10000000,0,0,3,2,2018,5
155,32,1000,1,2.49,1,3,2018,4.5
422244,32,50000000,0,0,3,3,2018,4.5
3815614,32,100000000,0,0,1,2,2018,4.5
3816799,32,100000000,0,0,1,2,2018,4.5
112565,32,1000000,0,0,3,2,2018,4.5
2440877,32,10000000,0,0,3,2,2018,4.5
559,32,100000,0,0,2,2,2018,4.5
4830407,32,50000000,0,0,4,2,2018,4.5
6344,32,500000,0,0,1,2,2018,5
898,33,100000,0,0,3,8,2016,4
164,33,10000,0,0,3,1,2013,4
127810,33,10000000,0,0,4,2,2018,4
1485806,33,100000000,0,0,1,2,2018,4.5
1497361,33,100000000,0,0,1,2,2018,4.5
1498648,33,100000000,0,0,1,2,2018,4.5
1499373,33,100000000,0,0,1,2,2018,4.5
1500622,33,100000000,0,0,1,2,2018,4.5
1500999,33,100000000,0,0,1,2,2018,4.5
37023,33,10000000,0,0,1,12,2018,4.5
524467,33,10000000,0,0,3,7,2016,4.5
464900,33,10000000,0,0,3,3,2018,4.5
9394,33,100000,1,4.99,1,9,2017,5
125647,33,10000000,0,0,1,12,2018,5
3073251,33,50000000,0,0,2,2,2018,5
6187,33,100000,0,0,3,7,2018,5
1202,34,100000,0,0,1,11,2018,4
88941,34,1000000,0,0,3,2,2016,4.5
807226,34,10000000,0,0,3,2,2018,4.5
1017408,34,10000000,0,0,3,8,2018,4.5
1628,34,50000,0,0,1,6,2014,4.5
1475,34,10000,1,4.99,3,2,2018,5
2464,34,50000,0,0,1,6,2018,5
196,35,10000,0,0,1,8,2016,3.5
16282,35,1000000,0,0,3,2,2017,4
6988,35,100000,0,0,2,11,2015,4
32551,35,500000,0,0,4,15,2018,4.5
937,35,10000,0,0,1,6,2017,4.5
1385093,35,100000000,0,0,1,9,2018,4.5
19922,35,100000,1,1.99,2,4,2018,5
37302,35,500000,0,0,1,1,2017,5
2071,36,100000,0,0,1,11,2018,3.5
489,36,10000,0,0,2,3,2015,4
51523,36,500000,0,0,3,8,2018,4
47151,36,5000000,0,0,2,2,2017,4
2233,36,1000000,0,0,1,11,2018,4.5
25952,36,500000,0,0,2,2,2015,4.5
85468,36,1000000,1,0.99,1,3,2018,4.5
421000,36,10000000,0,0,1,3,2018,4.5
504765,36,5000000,0,0,3,2,2018,4.5
3344,36,500000,0,0,1,3,2018,4.5
3697174,36,50000000,0,0,3,2,2018,4.5
3714270,36,50000000,0,0,3,2,2018,4.5
3715656,36,50000000,0,0,3,2,2018,4.5
3716278,36,50000000,0,0,3,2,2018,4.5
1692,36,10000,1,4.99,1,3,2018,4.5
8778,36,100000,0,0,3,10,2018,5
8014,37,100000,1,2.99,1,3,2016,4
2454,37,500000,0,0,1,3,2017,4
1744,37,100000,0,0,4,2,2018,4
17876,37,1000000,0,0,1,11,2015,4
104583,37,1000000,0,0,1,3,2016,4.5
162,37,10000,0,0,1,3,2018,4.5
522466,37,10000000,0,0,4,15,2018,4.5
685450,37,100000000,0,0,1,3,2018,4.5
685981,37,100000000,0,0,1,3,2018,4.5
4704,37,100000,0,0,2,3,2015,4.5
5682,37,50000,1,1.99,1,3,2017,4.5
6143,37,100000,0,0,3,7,2018,4.5
1094,37,500000,0,0,3,2,2018,4.5
1849,37,10000,0,0,1,4,2015,4.5
140658,37,1000000,0,0,1,11,2018,4.5
303,38,100000,0,0,1,3,2017,4
270687,38,10000000,0,0,3,11,2018,4
1287,38,50000,0,0,1,5,2013,4
70226,38,5000000,0,0,1,3,2018,4.5
109263,38,1000000,0,0,3,2,2018,4.5
147791,38,5000000,0,0,3,2,2018,4.5
5339,38,1000000,0,0,3,2,2017,4.5
234110,38,50000000,0,0,1,11,2016,4.5
234589,38,50000000,0,0,1,11,2016,4.5
165656,38,5000000,0,0,3,3,2018,4.5
243121,38,5000000,0,0,3,3,2014,4.5
7196,38,500000,0,0,1,3,2018,5
85410,39,10000000,0,0,2,11,2017,4
496,39,100000,0,0,3,1,2017,4.5
533,39,10000,0,0,2,2,2014,4.5
